operationtime,airline,flightnum,departureairport,arrivalairport,terminal,departure/arrival,origindate,codecontext,status_text,date,hour,weekday,is_weekend,route,status_group
2022-03-29 09:00:00,TO,7309,ALG,LYS,4,Departure,2022-03-29,OFB,Departed,2022-03-29,9,1,False,ALG-LYS,Departed
2022-03-29 08:30:00,SF,1990,ALG,ORN,1,Departure,2022-03-29,OFB,Departed,2022-03-29,8,1,False,ALG-ORN,Departed
2022-03-29 11:20:00,AH,6180,ALG,ORN,1,Departure,2022-03-29,OFB,Departed,2022-03-29,11,1,False,ALG-ORN,Departed
2022-03-29 10:20:00,AH,2054,ALG,LHR,4,Departure,2022-03-29,OFB,Departed,2022-03-29,10,1,False,ALG-LHR,Departed
2022-03-29 10:30:00,AH,2024,ALG,FCO,4,Departure,2022-03-29,OFB,Departed,2022-03-29,10,1,False,ALG-FCO,Departed
2022-03-29 11:58:00,VY,7476,BCN,ALG,4,Arrival,2022-03-29,ONB,Arrived,2022-03-29,11,1,False,BCN-ALG,Arrived
2022-03-29 13:40:00,VY,7477,ALG,BCN,4,Departure,2022-03-29,OFB,Departed,2022-03-29,13,1,False,ALG-BCN,Departed
2022-03-29 18:40:00,AH,2014,ALG,BCN,4,Departure,2022-03-29,OFB,Departed,2022-03-29,18,1,False,ALG-BCN,Departed
2022-03-28 08:40:00,SF,1501,HRM,ALG,1,Arrival,2022-03-28,ONB,Arrived,2022-03-28,8,0,False,HRM-ALG,Arrived
2022-03-29 11:45:00,AF,1384,CDG,ALG,4,Arrival,2022-03-29,SCT,Scheduled_OnTime,2022-03-29,11,1,False,CDG-ALG,Scheduled_OnTime
2022-03-29 13:05:00,AF,1855,ALG,CDG,4,Departure,2022-03-29,SCT,Scheduled_OnTime,2022-03-29,13,1,False,ALG-CDG,Scheduled_OnTime
2022-03-29 14:16:00,AZ,800,FCO,ALG,4,Arrival,2022-03-29,ONB,Arrived,2022-03-29,14,1,False,FCO-ALG,Arrived
2022-03-29 15:15:00,AZ,801,ALG,FCO,4,Departure,2022-03-29,OFB,Departed,2022-03-29,15,1,False,ALG-FCO,Departed
2022-03-29 10:25:00,AH,1010,ALG,ORY,4,Departure,2022-03-29,OFB,Departed,2022-03-29,10,1,False,ALG-ORY,Departed
2022-03-29 19:20:00,AH,6006,ALG,AAE,1,Departure,2022-03-29,OFB,Departed,2022-03-29,19,1,False,ALG-AAE,Departed
2022-03-29 07:15:00,AH,4000,ALG,TUN,4,Departure,2022-03-29,OFB,Departed,2022-03-29,7,1,False,ALG-TUN,Departed
2022-03-29 10:45:00,AH,2700,ALG,YUL,4,Departure,2022-03-29,OFB,Departed,2022-03-29,10,1,False,ALG-YUL,Departed
2022-03-29 14:35:00,AH,6051,BJA,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,14,1,False,BJA-ALG,Arrived
2022-03-29 11:00:00,AH,1000,ALG,CDG,4,Departure,2022-03-29,OFB,Departed,2022-03-29,11,1,False,ALG-CDG,Departed
2022-03-29 13:15:00,AH,6296,ALG,INZ,1,Departure,2022-03-29,DX,Cancelled,2022-03-29,13,1,False,ALG-INZ,Cancelled
2022-03-29 09:00:00,AH,6216,ALG,OGX,1,Departure,2022-03-29,OFB,Departed,2022-03-29,9,1,False,ALG-OGX,Departed
2022-03-29 14:50:00,AH,6192,ALG,CZL,1,Departure,2022-03-29,OFB,Departed,2022-03-29,14,1,False,ALG-CZL,Departed
2022-03-29 08:05:00,AH,6190,ALG,CZL,1,Departure,2022-03-29,OFB,Departed,2022-03-29,8,1,False,ALG-CZL,Departed
2022-03-29 14:50:00,AH,6170,ALG,AAE,1,Departure,2022-03-29,OFB,Departed,2022-03-29,14,1,False,ALG-AAE,Departed
2022-03-29 16:00:00,AH,6140,ALG,AZR,1,Departure,2022-03-29,OFB,Departed,2022-03-29,16,1,False,ALG-AZR,Departed
2022-03-29 09:00:00,AH,6040,ALG,BSK,1,Departure,2022-03-29,OFB,Departed,2022-03-29,9,1,False,ALG-BSK,Departed
2022-03-29 10:15:00,AH,6032,ALG,TEE,1,Departure,2022-03-29,OFB,Departed,2022-03-29,10,1,False,ALG-TEE,Departed
2022-03-29 19:00:00,AH,6026,ALG,CZL,1,Departure,2022-03-29,OFB,Departed,2022-03-29,19,1,False,ALG-CZL,Departed
