Operation time,Airline,Flight Num,Departure Airport,Arrival Airport ,Terminal,Departure / Arrival ,Origin Date,CodeContext
2024-05-27 20:05:00,AH,384,ALG,MED,2,Departure,2024-05-27,OFB
2024-05-27 15:55:00,AF,1754,CDG,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 17:25:00,AF,1755,ALG,CDG,4,Departure,2024-05-27,OFB
2024-05-27 13:59:00,SF,3019,SXB,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 16:45:00,SF,2220,ALG,ORN,1,Departure,2024-05-27,OFB
2024-05-27 9:00:00,SF,1876,ALG,CZL,1,Departure,2024-05-27,OFB
2024-05-27 8:00:00,SF,3018,ALG,SXB,4,Departure,2024-05-27,OFB
2024-05-27 9:40:00,SF,1100,ALG,HME,1,Departure,2024-05-27,OFB
2024-05-27 9:46:00,VY,7991,MRS,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 10:55:00,VY,7990,ALG,MRS,4,Departure,2024-05-27,OFB
2024-05-27 15:30:00,SF,1200,ALG,TINFOUYET,1,Departure,2024-05-27,OFB
2024-05-27 13:21:00,QR,1379,DOH,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 10:13:00,SF,2221,ORN,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 11:30:00,SF,1864,ALG,TIN,1,Departure,2024-05-27,OFB
2024-05-27 6:31:00,AH,3019,IST,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 10:27:00,AH,4001,TUN,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 14:07:00,AH,3061,PEK,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 20:18:00,AH,4003,TUN,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 1:15:00,AH,6137,CBH,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 13:50:00,AH,6039,BLJ,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 6:36:00,AH,6456,AZR,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 15:25:00,AH,6033,TEE,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 17:50:00,AH,6041,BSK,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 18:15:00,SF,1802,ALG,HME,1,Departure,2024-05-27,OFB
2024-05-27 12:40:00,SF,1808,ALG,KRECHBA,1,Departure,2024-05-27,OFB
2024-05-27 10:45:00,SF,2202,ALG,ORN,1,Departure,2024-05-27,OFB
2024-05-27 14:20:00,SF,1966,ALG,CZL,1,Departure,2024-05-27,OFB
2024-05-27 16:59:00,TB,3465,BRU,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 18:30:00,SF,1877,CZL,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 19:05:00,TU,338,TUN,ALG,4,Arrival,2024-05-27,DX
2024-05-27 20:05:00,TU,339,ALG,TUN,4,Departure,2024-05-27,DX
2024-05-27 10:20:00,SF,1807,KRECHBA,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 19:15:00,SF,1809,HME,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 10:32:00,TO,7264,ORY,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 11:40:00,TO,7265,ALG,ORY,4,Departure,2024-05-27,OFB
2024-05-27 5:49:00,AH,4037,CAI,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 16:05:00,AH,5361,JNB,ALG,4,Arrival,2024-05-27,SCT
2024-05-27 3:45:00,AH,6143,AZR,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 14:25:00,AH,6177,AAE,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 9:29:00,AH,6191,CZL,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 6:00:00,AH,6232,DJG,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 19:26:00,AH,6253,ELU,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 6:58:00,AH,6007,AAE,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 6:39:00,AH,6027,CZL,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 21:40:00,AH,6133,CBH,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 9:55:00,AH,6181,ORN,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 14:50:00,AH,6193,CZL,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 9:39:00,AH,6057,GJL,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 18:05:00,AH,6059,GJL,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 12:59:00,AH,6071,LOO,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 17:40:00,AH,6101,ORN,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 6:41:00,AH,6107,ORN,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 18:40:00,AH,6157,TMX,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 22:50:00,AH,6373,HME,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 22:40:00,TO,7270,ORY,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 6:46:00,TO,7308,LYS,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 8:00:00,TO,7309,ALG,LYS,4,Departure,2024-05-27,OFB
2024-05-27 20:47:00,AH,2055,LHR,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 16:46:00,AH,2063,BRU,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 8:00:00,AH,3001,SVO,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 11:20:00,AH,6267,TGR,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 20:07:00,AH,2015,BCN,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 13:45:00,AH,6477,EBH,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 15:45:00,AH,2025,FCO,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 19:40:00,AH,6219,OGX,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 22:40:00,AH,1013,CDG,ALG,4,Arrival,2024-05-27,LAN
